1,2,3,4,5,6
7,1.0,0,120,4750000,34
4,1.0,0,320,10900000,34
8,1.0,1,5,175000000,34
5,1.0,0,630,30000000,34
5,1.0,2,55,21000000,34
6,1.0,0,257,15500000,34
3,1.0,0,115,16250000,34
4,1.0,0,360,31500000,34
5,1.0,0,160,1950000000,34
9,1.0,3,14,850000000,34
5,1.0,0,350,17000000,34
8,1.0,0,5,117500000,34
3,1.0,0,230,9000000,34
4,2.0,0,480,12800000,34
4,1.0,1,334,7100000,34
4,1.0,0,75,2750000,34
5,1.0,0,545,18500000,34
4,1.0,0,65,5800000,34
4,1.0,0,240,9000000,34
2,2.0,0,168,15000000,34
3,2.0,0,1,275000000,34
4,1.0,0,700,24500000,34
4,1.0,0,260,23250000,34
3,1.0,0,100,4000000,34
2,1.0,0,238,2100000,34
4,1.0,0,70,20000000,34
1,1.0,0,90,1500000,34
4,1.0,1,400,40000000,34
2,2.0,4,250,4400000,34
4,1.0,0,137,4400000,34
2,1.0,5,140,8750000,34
5,2.0,5,300,57000000,34
4,1.0,0,125,9500000,34
5,1.0,0,69,16500000,34
6,3.0,5,500,59000000,34
3,1.0,0,300,18500000,34
5,1.0,0,400,29000000,34
4,1.0,6,65,6000000,34
3,1.0,0,170,7750000,34
4,1.0,0,600,10000000,34
4,1.0,6,164,11000000,34
4,1.0,0,500,15450999,34
3,1.0,0,354,6500000,34
2,1.0,0,500,11250000,34
5,1.0,0,80,8500000,34
4,1.0,2,1,66000000,34
4,2.0,0,320,12400000,34
3,2.0,1,650,49990000,34
4,1.0,0,314,8850000,34
5,1.0,0,58,21000000,34
3,2.0,0,145,9600000,34
3,1.0,0,120,7500000,34
5,,0,550,117500000,34
3,3.0,0,500,55000000,34
4,1.0,0,480,14500000,34
4,1.0,0,500,15500000,34
4,1.0,0,350,19750000,34
4,1.0,0,190,11250000,34
3,1.0,0,210,14000000,34
2,2.0,0,257,15500000,34
3,1.0,0,60,5000000,34
3,1.0,0,144,7200000,34
6,1.0,0,125,18500000,34
5,1.0,0,226,29500000,34
4,1.0,0,205,34863708,34
6,2.0,0,1,27000000,34
4,1.0,1,800,25000000,34
3,3.0,0,110,19500000,34
3,1.0,0,210,11500000,34
5,1.0,1,480,75000000,34
3,1.0,0,550,18000000,34
5,2.0,5,800,42000000,34
4,1.0,0,205,11100000,34
5,1.0,0,1,125000000,34
6,2.0,0,132,16250000,34
3,1.0,0,165,4999000,34
2,1.0,0,215,8500000,34
5,2.0,0,250,27500000,34
5,2.0,0,145,18000000,34
2,1.0,0,220,7650000,34
7,2.0,2,1,150000000,34
6,1.0,0,875,103250000,34
3,1.0,0,340,14000000,34
5,1.0,0,600,110000000,34
6,1.0,0,695,115000000,34
6,1.0,0,300,28000000,34
3,1.0,0,248,13000000,34
5,1.0,0,300,12950000,34
4,1.0,0,148,11950000,34
7,2.0,7,2,445000000,34
4,1.0,0,45,10800000,34
9,1.0,3,4,200000000,34
3,1.0,0,114,8900000,34
4,1.0,0,650,51000000,34
8,1.0,0,3,250000000,34
4,1.0,0,50,7900000,34
5,1.0,0,350,11750000,34
6,1.0,0,240,38000000,34
5,1.0,0,72,7750000,34
5,1.0,0,188,22500000,34
3,1.0,0,130,4500000,34
3,2.0,0,600,12000000,34
4,1.0,0,120,13750000,34
4,1.0,0,440,17900000,34
3,1.0,0,180,7750000,34
4,1.0,0,574,22000000,34
2,1.0,0,300,8500000,34
4,2.0,0,1,21000000,34
5,1.0,0,283,17250000,34
5,,0,1,32100000,34
3,1.0,0,500,16500000,34
6,1.0,0,140,57000000,34
4,1.0,0,228,29058950,34
5,1.0,0,269,7000000,34
6,2.0,0,160,30000000,34
4,1.0,0,192,14000000,34
6,1.0,0,45,46496000,34
2,1.0,0,380,21000000,34
2,1.0,0,264,4700000,34
7,1.0,1,840,42000000,34
3,2.0,0,271,46000000,34
6,1.0,0,750,14000000,34
5,1.0,0,204,17250000,34
4,1.0,0,350,25000000,34
5,1.0,0,139,8750000,34
6,1.0,0,430,44000000,34
4,2.0,0,400,17975000,34
2,2.0,0,100,10000000,34
5,1.0,0,350,37950000,34
4,1.0,0,70,7950000,34
4,1.0,0,150,27700000,34
3,3.0,0,300,4750000,34
6,1.0,0,432,20500000,34
5,1.0,0,145,20000000,34
4,2.0,2,217,3800000,34
5,1.0,0,130,35000000,34
2,2.0,0,290,15250000,34
4,1.0,0,600,150000000,34
4,1.0,0,648,117000000,34
2,1.0,0,140,3600000,34
8,1.0,0,3,94000000,34
4,1.0,0,100,11750000,34
4,2.0,0,790,15000000,34
5,2.0,0,900,50000000,34
3,1.0,4,90,19800000,34
5,1.0,0,145,32100000,34
2,1.0,0,300,12000000,34
3,2.0,0,930,32000000,34
5,1.0,0,600,89000000,34
2,1.0,0,100,12000000,34
5,1.0,0,1,80000000,34
5,1.0,0,1,80000000,34
5,,1,375,70000000,34
4,1.0,0,45,4500000,34
2,2.0,0,310,22250000,34
3,3.0,0,150,6690000,34
4,2.0,0,300,7650000,34
3,2.0,0,437,16500000,34
3,1.0,0,420,10000000,34
4,1.0,0,150,7450000,34
5,1.0,0,192,19000000,34
6,1.0,0,1,70000000,34
7,2.0,0,490,38000000,34
7,2.0,0,1,57000000,34
8,1.0,0,830,41500000,34
6,1.0,0,45,11000000,34
6,3.0,0,665,74500000,34
3,1.0,0,239,5750000,34
5,2.0,0,1,29750000,34
8,1.0,0,1,110000000,34
3,1.0,0,440,16000000,34
3,1.0,0,560,25000000,34
5,2.0,0,175,14000000,34
3,3.0,0,400,75000000,34
6,1.0,0,1,35000000,34
8,2.0,1,750,37900000,34
4,3.0,0,1,28750000,34
5,2.0,0,1,37000000,34
5,1.0,0,265,12000000,34
5,1.0,0,370,21500000,34
5,1.0,0,242,30000000,34
4,1.0,5,225,69000000,34
2,1.0,0,1,55000000,34
3,1.0,0,109,6300000,34
5,2.0,5,740,39000000,34
1,1.0,0,87,10000000,34
3,1.0,6,165,20000000,34
4,2.0,0,256,12000000,34
5,1.0,2,1,40000000,34
3,1.0,0,420,18000000,34
5,1.0,0,103,7000000,34
3,1.0,5,355,65950000,34
4,1.0,1,110,4000000,34
6,2.0,0,1,135000000,34
3,1.0,0,216,15500000,34
2,1.0,0,1,160000000,34
5,1.0,6,50,8000000,34
9,1.0,5,540,49000000,34
5,1.0,0,360,12750000,34
4,1.0,1,154,18000000,34
4,1.0,2,65,6750000,34
3,1.0,0,192,13750000,34
3,1.0,2,191,6600000,34
7,1.0,7,73,70000000,34
2,2.0,0,250,12000000,34
3,1.0,0,45,21350000,34
4,1.0,0,690,42000000,34
5,1.0,0,154,5950000,34
5,1.0,0,159,9298500,34
2,1.0,0,560,52350000,34
6,1.0,0,135,17500000,34
3,1.0,0,150,16500000,34
2,1.0,1,320,11700000,34
4,2.0,0,1,35000000,34
3,1.0,0,315,30000000,34
4,1.0,0,700,37000000,34
5,1.0,0,118,14500000,34
4,2.0,0,195,14950000,34
4,2.0,0,580,32000000,34
3,1.0,6,45,2100000,34
5,1.0,0,146,12300000,34
5,2.0,0,500,20000000,34
3,1.0,6,350,30000000,34
4,1.0,0,1,75000000,34
2,2.0,0,300,90000000,34
5,1.0,0,130,13000000,34
3,2.0,0,163,27000000,34
5,1.0,0,300,25000000,34
5,1.0,0,390,11750000,34
2,1.0,0,110,3950000,34
3,1.0,0,228,14000000,34
3,1.0,0,135,17500000,34
2,1.0,0,240,12000000,34
5,1.0,2,2,47000000,34
5,1.0,0,665,24500000,34
5,1.0,0,2,95000000,34
4,2.0,0,3,350000000,34
5,1.0,1,600,70000000,34
8,1.0,0,1,50000000,34
5,1.0,0,167,7900000,34
2,1.0,0,300,16000000,34
4,1.0,0,130,11000000,34
2,1.0,0,580,6000000,34
3,1.0,0,60,3500000,34
3,1.0,0,338,17500000,34
6,1.0,0,400,36000000,34
