_1,_2,_3,_4,_5,_6,_7
İLKBAHAR MAHALLESİNDE SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),875,29.000.000 TL,
GAZİ MAHALLESİ KOMPLE EŞYALARI İLE SATILIK BİNA,3,4,Doğalgaz (Merkezi),1.200,62.000.000 TL,
TURYAP'TAN YAŞAMKENT 11 AYRI TAPULU KİRACILI 1+0 EŞYALI SATILIK,4,3,Doğalgaz (Merkezi),350,18.500.000 TL,
,,,,,,
"KDV AVANTAJLI ,KURUMSAL KİRACILI,SOĞUK HAVA DEPOSU ,KOMPLE BİNA",1,1,Doğalgaz (Kombi),1.750,65.000.000 TL,
ALTINDAĞ İSKİTLER TURGUT ÖZAL BULVARIN'DA 3.650 M2 SATILIK BİNA.,9 +,2,Doğalgaz (Merkezi),3.650,62.000.000 TL,
"MERKEZİ KONUMDA, YÜKSEK KİRA GETİRİLİ, KURUMSALA UYGUN BİNA..",4,5 +,Doğalgaz (Merkezi),4.000,125.000.000 TL,
BİRLİK'TE 4 ADET 1+1 2 ADET 1+0 2 ADET m2 BÜYÜK 3+1 SATILIK BİNA,4,2,Doğalgaz (Kombi),650,25.500.000 TL,
İVEDİK OSB'DESATILIK 3 KATLI YAPILI BİNA CADDE ÜZERİ,3,3,Doğalgaz (Kombi),650,15.250.000 TL,
OSTİMDE UZAY ÇAĞI CADDESİ'NE PARALEL KONUMDA SATILIK SIFIR BİNA,3,1,Doğalgaz (Kombi),630,18.500.000 TL,
YAŞAMKENT DE SATILIK 4 KATLI BİNA,4,3,Doğalgaz (Merkezi),480,23.000.000 TL,
UĞURMUMCU CADDESİ KÖŞE BİNADA 2 DAİRE 5 DÜKKAN,4,2,Doğalgaz (Kombi),400,26.900.000 TL,
TURAN GÜNEŞ BULVARINDA 3200 M2 TİCARİ KOMPLE BİNA,7,1,Doğalgaz (Kombi),3.200,84.000.000 TL,
ANKARA KALESİ TARİHİ MİMARİ 155m2 BİNA,2,1,Yok,155,6.500.000 TL,
MERKEZİ LOKASYONDA KOMPLE SATILIK LÜX YAPILI SIFIR BİNA !,5,2,Doğalgaz (Kombi),1.000,42.000.000 TL,
SAHİBİNDEN KOPÇA SOKAKTA KOMPLE BİNA,3,1,Soba,1.050,30.000.000 TL,
KOMPLE SATILIK BİNA ANKARA KALESİ YAKINI 5 KATLI BİNA,5,2,Yok,800,8.750.000 TL,
SATILIK BİNA 2 ADET 4+1 DAİRE 1 ADET 5+1 DUBLEKS 1 ADET DÜKKAN,4,1,Doğalgaz (Kombi),1.000,30.000.000 TL,
Konya Yolu Üzerinde Tabela Değeri Yüksek Satılık Ticari Bina,4,5 +,Yok,4.500,93.000.000 TL,
80 mt BETON ARME EV,2,1,Soba,80,1.650.000 TL,
Ümitköy Hazır Satılık Bina 20 Daire 200.000₺ Kira Geliri,4,3,Doğalgaz (Merkezi),1.000,48.500.000 TL,
KURUMSAL KAMU KİRACILI ÇANKAYA GAZİOSMANPAŞA SATILIK KOMPLE BİNA,5,5 +,Doğalgaz (Merkezi),1.750,38.900.000 TL,
SAMSUN YOLU SİTELER-1 KAVŞAĞINDA SATILIK KOMPLE BİNA,5,5 +,Yok,9.936,421.000.000 TL,
YAŞAMKENT İSKANLI KOMPLE SATILIK BİNA,4,4,Doğalgaz (Kombi),736,29.500.000 TL,
ETLİK AŞAĞI EĞLENCE GÖBEKTE KOMPLE SATILIK BİNA,3,2,Doğalgaz (Kombi),1.800,42.000.000 TL,
Var Bina Kaçırılmayacak Fırsat! Sahibinden Hastalık Sebebiyle Doğalgaz (Kombi) Açık Otopark,3,2,Doğalgaz (Kombi),1.800,67.950.000 TL,
CB LOFT'TAN BALGAT OĞUZLAR'DA KOMPLE SATILIK BİNA (LÜKS PLAZA),4,2,Doğalgaz (Kombi),1.600,54.000.000 TL,
ACİL SATILIK! Ankara Demetevler ivedik cad. 7 kat imarlı bina,3,2,Doğalgaz (Kombi),300,53.500.000 TL,
BAŞAK mah.BU FİYATA BENZERİ YOK MANZARALI İSKANLI KOMPLE BİNA,3,2,Doğalgaz (Kombi),130,10.250.000 TL,
ABAY KUNANBAY CADDESİNDE SATILIK KOMPLE BİNA!,5,3,Doğalgaz (Kombi),1.061,45.000.000 TL,
ÇANKAYA İLKBAHAR MAHALLESİNDE FULL YAPILI SATILIK TİCARİ BİNA,4,1,Doğalgaz (Kombi),550,25.500.000 TL,
SİTELERDE SATILIK KOMPLE BİNA,4,1,Soba,1.200,16.000.000 TL,
GAZİOSMANPAŞA ÜST REŞİTGALİP'DE 3 KAT'LI LÜX SATILIK VİLLA,3,1,Doğalgaz (Kombi),1.000,45.000.000 TL,
ÇAYYOLUNDA SATILIK KÖŞE DÜKKAN,1,3,Doğalgaz (Kombi),2.300,40.000.000 TL,
TURAN GÜNEŞ BULVARI ÜZERİNDE CADDEYE CEPHELİ KOMPLE BİNA,7,5 +,Doğalgaz (Kombi),3.000,92.000.000 TL,
YERKÜRE MÜLKTEN YABANCI YATIRIMCILARA BİNA,4,1,Doğalgaz (Kombi),550,6.250.000 TL,
Sincan çarşı merkezinde satılık komple bina,1,1,Doğalgaz (Kombi),218,25.000.000 TL,
İSTASYON CADDESİ SATILIK KOMPLE BİNA,3,5 +,Doğalgaz (Kombi),1.560,30.250.000 TL,
ANKARA KALESİNDE SATILIK 180 M2 TARİHİ BİNA,2,1,Doğalgaz (Kombi),180,5.000.000 TL,
Ankara Mamak Plevne Caddesi Üzerinde 3000 m2 Satılık Komple Bina,5,1,Doğalgaz (Merkezi),3.000,95.000.000 TL,
BALGAT CEVİZLİDERE'DE KOMPLE SATILIK LÜKS BİNA KİRACILI,5,1,Doğalgaz (Merkezi),1.790,62.000.000 TL,
İVEDİK OSB DE SATILIK 4 KATLI MÜSTAKİL İŞYERİ-BİNA,4,2,Doğalgaz (Kombi),1.000,25.500.000 TL,
Köy İçi Hazır 3 Katlı Ev Hemen Kullan Mustakil Bina,3,1,Kalorifer,400,2.550.000 TL,
KURUMSAL KİRACILI İSKANLI SANSÖRLÜ YÜZME HAVUZLU SATILIK BİNA,3,2,Doğalgaz (Kombi),1.500,28.500.000 TL,
ANKARA KALESİ ARKASINDA İSKANLI KİRACILI SATILIK YENİ BİNA,5,4,Doğalgaz (Kombi),5.000,65.000.000 TL,
SATILIK KOMPLE BINALAR,6,1,Doğalgaz (Kombi),900,100.000.000 TL,
BORSA ~ HER PROJEYE UYGUN ÖZEL OKUL KİRACILI KOMPLE SATILIK BİNA,8,4,Doğalgaz (Merkezi),2.750,67.950.000 TL,
KENT MEYDANI KARŞISI MERKEZİ NOKTADA 960m2 KOMPLE BİNA,6,1,Doğalgaz (Kombi),1.000,19.900.000 TL,
SİNCAN SATILIK İŞYERİ MÜLK,4,1,Doğalgaz (Kombi),331,8.000.000 TL,
BATIKENT MELİH GÖKÇEK BULVARI FULL YAPILI TAM KDV'Lİ KOMPLE BİNA,4,5 +,Doğalgaz (Merkezi),1.000,45.000.000 TL,
"ÇUBUK ANKARA BULVARINDA, 5 KAT SATILIK KOMPLE BİNA VE ARSASI",5,1,Soba,775,6.000.000 TL,
YAŞAMKENT-B­AĞIMSIZ-TAM MÜSTAKİL-SATILIK BİNA-4 KATLI-İŞLEK CADDE,4,1,Doğalgaz (Kombi),450,15.900.000 TL,
