_1,_2,_3,_4,_5,_6,_7
Öveçlerde Caddede Yapılı - Bakımlı - ŞIK Komple Bina...,5,2,Doğalgaz (Kombi),1.750,34.750.000 TL,
HAMAMÖNÜ NDE HARİKA LOKASYONDA SATILIK TARİHİ KOMPLE BİNA,5,5 +,Klima,3.000,71.000.000 TL,
GÜN EMLAK'TAN YENİMAHALLE MERKEZ ŞEHİR HAS. YAKINI KOMPLE BİNA,5,1,Doğalgaz (Kombi),900,28.000.000 TL,
,,,,,,
YENİMAHALLE BÖLGESİNDE KİRA GETİRLİ 4150m2 SATILIK KOMPLE BİNA,4,2,Doğalgaz (Merkezi),4.150,165.655.000 TL,
YAŞAMKENT MAH. 100.000₺ KİRA GETİRİLİ EŞYALI KOMPLE SATILIK BİNA,5,2,Yerden Isıtma,400,17.500.000 TL,
ÇANKAYA BÜKLÜM SOKAK SATILIK KOMPLE BİNA,6,1,Doğalgaz (Kombi),1.330,28.250.000 TL,
Sitelerde Satılık Komple Bina,4,1,Soba,950,15.900.000 TL,
BEŞTEPE MERTEBE SOKAKTA ÖNÜ AÇIK SATILIK KOMPLE BİNA 1000 M2,4,1,Yerden Isıtma,1.000,55.000.000 TL,
YENİMAHALLE MERKEZ OĞUZLAR SOKAKTA ESKİ BİNA,2,1,Doğalgaz (Kombi),152,8.500.000 TL,
ÇANKAYA KONUTKENT'TE 400m² KOMPLE SATILIK BİNA,4,2,Yerden Isıtma,400,24.000.000 TL,
YATIRIMCISINA yüksek kira getirili merkezi konumda KOMPLE BİNA,4,3,Doğalgaz (Merkezi),600,22.750.000 TL,
ÇANKAYA CEBECİ ERTUĞRULGAZİ MAH. KOMPLE SATILIK BİNA,3,1,Soba,522,23.000.000 TL,
GAZİOSMANPAŞA HORASAN SOKAKTA İLERİ NATAMAM KOMPLE SATILIK BİNA,5,1,Doğalgaz (Kombi),1.850,59.500.000 TL,
KIZILAY MECLİS BAKANLIKLAR KAVŞAĞINDA 3.000 M2 KOMPLE BİNA,5,1,Doğalgaz (Merkezi),3.000,84.900.000 TL,
Çelikler GYD'den Alacaatlı Mah'da Satılık Komple Bina,4,1,Güneş Enerjisi,665,37.000.000 TL,
ANKARA KALESİ'NDE KİRACILI SATILIK 150 M2 TARİHİ BİNA,2,1,Doğalgaz (Kombi),150,10.000.000 TL,
YEŞİLOVA'DA KURUMSALA UYGUN YÜKSEK GETİRİLİ SATILIK BİNA,4,5 +,Doğalgaz (Merkezi),2.000,65.000.000 TL,
ANADOLU MAHALLESİNDE SATILIK ESKİ BİNA,1,1,Doğalgaz (Kombi),155,3.000.000 TL,
YILLIK 1.8 MİLYON GETİRİLİ SATILIK 14 DAİRELİK KOMPLE BİNA,4,4,Doğalgaz (Merkezi),63,22.500.000 TL,
Hakimler Köyünde Satılık Villa,3,3,Yerden Isıtma,200,7.500.000 TL,
ULUS TARİHİ AVİZECİLER ÇARŞISINDA HARİKA KONUMDA BİNA,3,1,Yok,105,4.995.000 TL,
Kurumsal Kiracılı Satılık Çok Lüks Yapılı 1750m2 7 Katlı Bina,7,4,VRV,2.000,55.000.000 TL,
Çankaya'da 2+1 Satılık Daire,4,1,Doğalgaz (Kombi),85,1.250.000 TL,
SİNCAN VATAN CADDESİ SATILIK BİNA,3,5 +,Doğalgaz (Kombi),585,85.000.000 TL,
AHİMESUTTA KOMPLE 20 DAİRE BİRDEN SATILIK 4+1 180m2 DAİRELER,9 +,2,Doğalgaz (Kombi),185,108.000.000 TL,
SATILIK 2 katlı 4 daireli EV,2,2,Soba,430,3.250.000 TL,
KAHRAMAN KAZAN LOJİSTİK BÖLGESİ 2.500m2 SATILIK BİNA,1,5 +,Yok,2.500,120.500.000 TL,
ÇIKRIKÇILAR'DA TİCARETE VE YATIRIMA UYGUN SATILIK KOMPLE BİNA,6,1,Doğalgaz (Kombi),900,14.750.000 TL,
İPEKYOLU GAYRİMENKUL'DEN TURİSTİK ÇARŞIDA 2 KATLI SATILIK BİNA,2,1,Soba,125,2.250.000 TL,
MİREM DEN SİNCAN MERKEZDE KOMPLE SATILIK KURUMSAL KİRACILİ BİNA,3,1,Doğalgaz (Merkezi),580,39.000.000 TL,
ÇANKAYA DA 4 AYRI MUSTAKİL KATLI 12+4 AKILLI BiNA,4,1,Güneş Enerjisi,665,37.000.000 TL,
ULUS ÇANKIRI CAD MANZARALI 10 KATLI KOMPLE BİNA 270M2 DÜKKAN,9 +,5 +,Doğalgaz (Kombi),4.100,59.999.999 TL,
GMK BULVARI 6 KAT EKSİĞİ OLAN BİNADA DAİRELER,3,2,Doğalgaz (Kombi),341,7.800.000 TL,
ÇANKAYA CEBECİDE KOMPLE SATILIK BİNA,3,2,Doğalgaz (Kombi),45,7.500.000 TL,
Baglicanin en büyük daireleri ve komple satılık harika BİNAMIZ..,3,1,Doğalgaz (Kombi),360,30.000.000 TL,
Mustafa Kemal Mh 3.650M² Toplam Kullanım Alanı Olan Satılık Bina,6,1,Doğalgaz (Kombi),3.650,275.000.000 TL,
SARAY KAZANDA 4000M2 ARSA ÜZERİNE FABRİKA YÖNETİM BİNASI,7,1,Yok,4.000,47.500.000 TL,
GAZİOSMANPAŞA HAFTA SOKAKTA 700 M2 ARSALI 2.200M2 KOMPLE BİNA,6,1,Doğalgaz (Kombi),2.200,58.900.000 TL,
VARLIK MAHALLESİNDE KURUMSAL ŞİRKETLERE UYGUN SATILIK BİNA,6,5 +,Doğalgaz (Merkezi),2.950,105.000.000 TL,
SİNCAN SANAYİSİNDE KOMPLE SATILIK BİNA,2,2,Soba,1.000,12.500.000 TL,
