1,2,3,4,5,6,7
YENİMAHALLE MERKEZDE SATILIK ESKİ BİNA,3,1,Doğalgaz (Kombi),280.0,12.000.000 TL,
194.000 TL KURUMSAL KİRACILI 4000 M2 CADDE ÜZERİ KOMPLE BİNA,6,1,Doğalgaz (Kombi),4.0,94.000.000 TL,
-ÇELİK EMLAK- KÜÇÜK HAMAM ARKASI 3 KATLI 3 DAİRELİ DOĞALGAZLI,3,1,Doğalgaz (Kombi),320.0,3.500.000 TL,
,,,,,,
Ankara Balgat' ta cadde üzeri Satılık Komple Bina,6,5 +,Doğalgaz (Merkezi),4.5,135.000.000 TL,
BEYSUKENT'TE MÜKEMMEL LOKASYON YAPIDA PRESTİJLİ SATILIK BİNA,4,5 +,Doğalgaz (Merkezi),1.6,50.000.000 TL,
DİALOG PARKOUR'DAN VATAN CADDESİ 10 TAPULU KOMPLE BİNA 4.145M2,4,2,Doğalgaz (Merkezi),4.145,161.655.000 TL,
İNCEK BULVAR CEPHELİ KÖŞE ÇİFT PARSEL SATILIK 5 KATLI BİNA,5,5 +,Yerden Isıtma,1.5,70.000.000 TL,
ALACAATLI'DA YAPILI 4 KATLI SATILIK BİNA,4,2,Doğalgaz (Kombi),750.0,39.900.000 TL,
ÇAYYOLU'NDA KOMPLE SATILIK 4 KATLI BİNA,4,2,Doğalgaz (Kombi),500.0,18.500.000 TL,
TURAN GÜNEŞ'TE CADDE ÜZERİ SATILIK KOMPLE BİNA,4,3,Doğalgaz (Kombi),2.2,62.000.000 TL,
Resit Galip Caddesinde Satilik Kupon Bina Sahibinden,3,2,Doğalgaz (Kombi),1.5,45.000.000 TL,
Doğalgaz (Kombi) Merkeze 5 dk Uzaklıkta Doğa Manzaralı Sahibinden Yok Kapalı Otopark Bina,4,1,Doğalgaz (Kombi),600.0,35.000.000 TL,
ÇAYYOLU'NDA ÇOK DEĞERLİ KONUMDA MÜSTAKİL BİNA,3,1,Doğalgaz (Kombi),600.0,29.750.000 TL,
GAZİOSMANPAŞA İZCİ SOKAKTA SATILIK KOMPLE BİNA,4,2,Doğalgaz (Merkezi),1.5,47.500.000 TL,
ÇANKAYA İLKBAHAR MAHALLESİ'NDE SATILIK KOMPLE BİNA,5,5 +,Doğalgaz (Kombi),1.1,25.000.000 TL,
ALDEX'DEN SİNCAN ATATÜRK MAH.SATILIK BİNA,2,2,Doğalgaz (Kombi),400.0,5.200.000 TL,
YENİMAHALLE MERKEZDE 4 DAİRELİ BİNA,4,1,Doğalgaz (Kombi),600.0,11.750.000 TL,
TAŞ KONAK EMLAK'TAN ERYAMAN MAH. SATILIK KOMPLE BİNA,3,2,Doğalgaz (Merkezi),1.7,27.000.000 TL,
İNÖNİ MAHALLESİNDE KURUMSAL KİRACILI KOMPLE BİNA SATILIK,5,5 +,Doğalgaz (Kombi),11.5,35.000.000 TL,
Yükseltepe konutları site,9 +,4,Doğalgaz (Merkezi),140.0,2.550.000 TL,
ÇANKAYA YENİKENT DE SATILIK KOMPLE BİNA,4,3,Doğalgaz (Kombi),500.0,18.850.000 TL,
