_1,_2,_3,_4,_5,_6,_7
Urla Sanat Sokağı'nda Satılık Taş Bina,2,1,Yok,208,17.000.000 TL,
BOZYAKA SEVGİ MAHALLESİNDE 4 KATLİ SATILIK BİNA,4,1,Doğalgaz (Kombi),120,6.280.000 TL,
Yeşildere 2katli,3,3,Soba,127,1.600.000 TL,
,,,,,,
BAHAR MAHALLESİNDE 3 KATLI BİNA,3,1,Doğalgaz (Kombi),120,4.500.000 TL,
ALİAĞA FORZA EMLAK'TAN ATATÜK CAD.KOMPLE SATILIK BİNA,4,2,Doğalgaz (Kombi),110,17.500.000 TL,
YEŞİM EMLAKTAN ZÜBEYDE HANIM MAHALLESİNDE SATILIK 2 KATLI BİNA,2,1,Klima,120,7.600.000 TL,
URLA İÇMELERDE 3 DAİREDEN OLUSAN SATILIK BİNA,3,1,Klima,75,6.500.000 TL,
ÇİĞLİ GÜZELTEPE'DE SATILIK AVLULU EV,2,1,Soba,80,3.000.000 TL,
KOMPLE SATILIK BİNA 5 KATLI ŞEHİR MANZARALI 2+1'LER,5,1,Klima,102,5.525.000 TL,
MAVİŞEHİR İZBAN VE ANADOLU CAD. 2 DAKİKA MESAFEDE SATILIK BİNA,4,1,Soba,166,7.200.000 TL,
Yenifoça Burunucu Mevkiinde Komple Satılık 3 Katlı Bina,3,1,Doğalgaz (Kombi),213,18.500.000 TL,
URLA ZEYTİNALANI'DA SATILIK BİNA,3,1,Doğalgaz (Kombi),330,29.650.000 TL,
BAYRAKLI NAFİZ GÜRMAN MH DENİZ MANZARALI SATILIK KOMPLE BİNA,2,1,Yok,141,5.500.000 TL,
İzmir Konak Ferahlı'da Satılık Bina,4,1,Soba,73,3.250.000 TL,
Bu Fiyata Yok! Satılık Emlak Ofisinden  Yok Son 3 gün! Hastalık Sebebiyle,4,1,Yok,100,5.500.000 TL,
__444'DEN__ 34.000 TL KİRA GETİRİLİ KOMPLE YAPILI EŞYALI BİNA,2,3,Klima,100,2.500.000 TL,
satılık 2 kat 3 daire ve arsa,2,1,Güneş Enerjisi,110,3.500.000 TL,
BOZYAKA SEVGİ MAHALLESİNDE 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),110,5.180.000 TL,
BULUR'DAN 2 KATLI BAHÇELİ TERASLI MÜSTAKİL EVİMİZ SATILIKTIR,2,1,Soba,160,1.750.000 TL,
ERA NİVA'DAN BORNOVA PINARBAŞI'NDA SATILIK BİNA,1,1,Yok,119,3.100.000 TL,
EPA VIZYON 2' DEN ALACATI ICINDE OTELE UYGUN VILLA,2,2,Yok,249,26.500.000 TL,
"ÇİĞLİ, ATAŞEHİR DE, SATILIK 112 m2 YATIRIMLIK 2 KATLI BİNA",2,1,Doğalgaz (Kombi),112,3.900.000 TL,
