_1,_2,_3,_4,_5,_6,_7
bahçeli sakin semt,9 +,3,Doğalgaz (Kombi),150,2.600.000 TL,
REMAX EVİYAP'TAN BEYAZLARDA SATILIK MÜSTAKİL BİNA,4,1,Doğalgaz (Kombi),140,3.600.000 TL,
TÜRKMENLER'DE YATIRIMCILARA ÖZEL 1+1 1+0 SATILIK BİNA !!!!!!,4,1,Doğalgaz (Kombi),100,750.000 TL,
,,,,,,
8 ŞUBATTA 4 KATLI BİNA SATILIKTIR,4,1,Doğalgaz (Kombi),200,6.500.000 TL,
DİVAN GAYRİMENKULDEN GÜVENEVLER MAHALLESİNDE 5 KATLI SATLIK BİNA,5,1,Doğalgaz (Kombi),250,19.000.000 TL,
ÖNDER GAYRİMENKUL DEN CAD.ÜZERİ+YÜKSEK KİRA GETİRİLİ KOMPLE BİNA,5,1,Doğalgaz (Kombi),120,7.500.000 TL,
DENİZ MH'DE SATILIK 4 KATLI KÖŞE BAŞI PARK CEPHELİ BİNA,4,1,Doğalgaz (Kombi),187,4.500.000 TL,
YEŞİLEVLER ANA CADDE ÜZERİNDE SATILIK 4 KATLI BİNA,4,1,Doğalgaz (Kombi),130,8.500.000 TL,
SAKARYA MAH SATLIK 2 KATLI AYAKLI MÜSTAKİL EV,2,2,Soba,95,1.100.000 TL,
Kw Meridyen Sinan KAYA'dan Emek Mahallesinde Satılık Komple Bina,5,1,Doğalgaz (Kombi),490,19.900.000 TL,
Zafer Emlak 'Dan 6 katlı Satılık Bina Ve Dükkanlar,6,2,Doğalgaz (Kombi),270,9.500.000 TL,
Mustakil 4 katlı bakımlı bina komple satiliktir,4,1,Doğalgaz (Kombi),138,5.200.000 TL,
KATILIM GAYRİMENKULDEN SATILIK BİNA,3,2,Doğalgaz (Kombi),200,2.800.000 TL,
PERİLİKAYA NARLI TEPEDE SATLIK MÜSTAKIL BİNA,1,1,Soba,110,1.350.000 TL,
YEDİTEPE'DE İSKANLI KOMPLE SATILIK 1+1 REZİDANS BİNA,5,5 +,Doğalgaz (Kombi),45,62.000.000 TL,
DİVAN GAYRİMENKULDEN EMEK MAHALLESİNDE 4 KATLI LÜKS SATLIK BİNA,4,1,Doğalgaz (Kombi),650,50.000.000 TL,
BEYAZLAR MAH.4 .KATLI SATILIK BİNA,4,1,Doğalgaz (Kombi),150,7.700.000 TL,
MELKE EMLAKTAN SATILIK 5 KATLI EV (3 DÜKKAN),5,1,Doğalgaz (Kombi),120,7.500.000 TL,
Sahibinden Komple Satılık Cadde Üzeri,1,1,Doğalgaz (Kombi),286,10.500.000 TL,
SURUROĞLU'ndan 8 ŞUBAT'ta ANACADDE ÜZERİNDE SATILIK 3 KATLI BİNA,4,1,Soba,170,5.499.000 TL,
SURUROĞLU'ndan BELKIZ'da SATILIK 5 KATLI BİNA,5,2,Doğalgaz (Kombi),600,15.500.000 TL,
REPA GAYRİMENKUL REŞİT AVCI'DAN YAVUZELİ'DE KOMPLE SATILIK BİNA,2,2,Soba,552,14.000.000 TL,
AKYOL MAH. SATILIK BİNA,2,2,Soba,350,1.725.000 TL,
SURUROĞLU'ndan BELKIZ MAHALLESİNDE SATILIK 4 KATLI MÜSTAKİL BİNA,4,1,Doğalgaz (Merkezi),165,7.999.900 TL,
OLUŞUM EMLAK'dan GÜVENEVLER MAH.MÜSTAKİL BİNA,2,1,Doğalgaz (Kombi),325,12.000.000 TL,
ATA GAYRİMENKUL'DEN GÜVENEVLER'DE SATILIK MÜSTAKİL BİNA,2,1,Doğalgaz (Kombi),365,7.750.000 TL,
ŞEHREKÜSTÜDE MÜSTAKİL 3 KATLI BİNA,3,1,Soba,179,8.000.000 TL,
HEDEF27 EMLAK'TAN KOMPLE SATILIK ULTRA LÜKS SIFIR ASANSÖRLÜ BİNA,4,2,Doğalgaz (Kombi),230,21.490.000 TL,
ARSA ARAZİ TAKASLI 120.000 GETİRİLİ ÜNV KARŞISI STUDYO BİNA,4,5 +,Doğalgaz (Merkezi),216,17.900.000 TL,
Sahibinden satılık bina,3,2,Soba,247,2.500.000 TL,
satılık bina,2,2,Soba,120,2.000.000 TL,
"KÖŞK TEN PANCARLI DA SATILIK 5 KATLI BİNA (DERSANE,KR­EŞ,KLİNİK)",5,1,Doğalgaz (Kombi),907,15.750.000 TL,
EMEK MAH SATILIK KÖŞE BAŞI 3 KATLI BİNA FISTIKLAR EMLAK,3,2,Doğalgaz (Kombi),550,17.500.000 TL,
KONAK MAHALLESİNDE FIRSAT 4 KATLI BİNA,4,1,Doğalgaz (Kombi),120,3.800.000 TL,
GÜVENEVLER MAH. 700 M2 4 KATLI YÜKSEK KİRA GETİRİLİ SATILIK BİNA,4,1,Doğalgaz (Kombi),700,25.250.000 TL,
Son 3 gün! Doğalgaz (Kombi) Açık Otopark Var Bu Fiyata Yok! Bina Mükemmel Ötesi,5,1,Doğalgaz (Kombi),120,5.500.000 TL,
BİNDALLI CAMİİ YANI 3 KATLI MÜKEMMEL KOMPLE BİNA,3,1,Doğalgaz (Kombi),400,24.000.000 TL,
Gazikent Belkıs Mahallesinde 5 TAPULU Satılık A2 Bina,5,1,Doğalgaz (Kombi),251,8.650.000 TL,
SHB EMLAK'TAN YEŞİLEVLERDE CADDE ÜZER 2 KATLI GENİŞ MÜSTAKİL EV,2,2,Doğalgaz (Kombi),300,5.500.000 TL,
EZOGELİNDEN TURAN EMEKSİZ MAHALLESİNDE SATILIK MÜSTAKİL BİNA,2,1,Soba,60,539.000 TL,
PRİMERA GAYRİMENKUL DEN EMEK MAHALLESİNDE GENİŞ 2+1 DAİRE,4,3,Doğalgaz (Kombi),105,2.150.000 TL,
GENEYEK EMLAKTAN KOMPLE SATLIK BİNA,6,2,Doğalgaz (Kombi),410,16.750.000 TL,
BİRLEŞMİŞ EMLAKÇILAR A.Ş'DEN TEK YETKİLİ (SATILIK OKUL),7,5 +,Doğalgaz (Merkezi),12.500,170.000.000 TL,
ÇINARLI CAMİ KARŞISI KOMPLE SATLIK BİNA,3,1,Klima,246,2.250.000 TL,
ANA CD. ÜZERİ 2 İŞ YERİ RUHSATLI DOĞALGAZLI 4 KATLI BİNA,4,1,Doğalgaz (Kombi),115,3.350.000 TL,
ASLANBEY GAYRİMENKULDEN SATLIK MUSTAKIL BINA,5,1,Doğalgaz (Kombi),185,7.950.000 TL,
ERA-TIME KURUMSAL'DAN SON FIRSAT 3 KATLI MÜSTAKİL EV,3,1,Doğalgaz (Kombi),158,6.650.000 TL,
EV CENTER'DAN ŞEHİTKAMİL DEVLET HASTANESİ ARKASI BAKIMLI BİNA,3,1,Doğalgaz (Kombi),90,3.750.000 TL,
HOŞGÖR OKULU CİVARI SATLIK 3 KATLI MÜSTAKİL GENİŞ BAKIMLI BİNA,3,3,Soba,170,3.500.000 TL,
NİZİPTE BİZİM EMLAKTAN SATILIK BİNA,2,1,Soba,120,3.800.000 TL,
SATLIK İSLAHİYEDE 3 KATLI KOMPLE BİNA LÜX SIFIR YAPILI,3,1,Doğalgaz (Kombi),561,6.250.000 TL,
AVM OTEL HASTANE OKUL VE İŞYERİ İÇİN FIRSAT TİCARİ BİNA!!,9 +,5 +,Yok,15.000,150.000.000 TL,
ERA-TIME'DAN FIRSAT 4 KATLI BİNA KOMPLE SATILIK,4,1,Soba,145,5.480.000 TL,
AKTİF DEN TRANVAY ÜSTÜ YÜKSEK KİRA GETIRLİ ANA CADDE ÜZERI BİNA,5,5 +,Doğalgaz (Merkezi),1.170,75.000.000 TL,
,,,,,,
İSA ÇİMEN GAYRİMENKUL*DEN ONUR MH 3 KATLI MÜSTAKİL SATLIKTIR,3,1,Doğalgaz (Kombi),130,3.200.000 TL,
*Sahibinden 6daire bina*,3,2,Doğalgaz (Kombi),170,12.990.000 TL,
BAŞPINAR SEFA ŞEHİRDE DR SİTESİNDE SATLIK TRİPLEX VİLLA,2,3,Doğalgaz (Kombi),1.000,17.000.000 TL,
YÜKSEK KİRA GARANTİLİ KOMPLE EŞYALI RESİDENCE BİNA,4,4,Doğalgaz (Kombi),2.000,49.000.000 TL,
BAŞARI EMLAK DAN MALAZGİRT MAH SATILIK KOMPLE BİNA,3,1,Soba,120,2.600.000 TL,
KISACIKLAR PETROL KARŞISI KOMPLE SATLIK (DÜKKANLR/DAİERELR) BİNA,2,2,Doğalgaz (Kombi),548,30.000.000 TL,
GÜÇLÜSOY GAYRİMENKUL'DEN YEŞİLEVLER MAH. SATILIK 3 KATLI BİNA,3,1,Doğalgaz (Kombi),120,6.000.000 TL,
ZEYTİNLİ MAHALLESi KOMPLE SATILIK BİNA 3 kat ve dükkan,3,1,Doğalgaz (Kombi),130,8.400.000 TL,
İKRAM EMLAKTAN SATILIK BİNA 25.ARALIK MAH.,4,1,Soba,100,3.500.000 TL,
ACİL ÇOK ACİL SATILIK DOĞALGAZLI BİNA,2,1,Doğalgaz (Kombi),90,2.100.000 TL,
"AK EMLAK'TAN DUMLUPINAR MAH, KÖŞE BAŞI 3,KATLI MÜSTAKİL BİNA",3,1,Soba,125,2.995.000 TL,
ÇARŞI MERKEZDE SATILIK UYGUN MÜSTAKİL EV,1,1,Soba,105,890.000 TL,
GÜVENEVLERDE KÖŞE BAŞI KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),1.000,26.000.000 TL,
BTA KENT ten FIRSATI YÜKSEK GELİRLİ ACİLİYETTEN FİYAT DÜŞTÜ,4,4,Doğalgaz (Merkezi),220,13.750.000 TL,
EKİNCİLERDE. Satılık komple bina,5,3,Doğalgaz (Kombi),170,75.000.000 TL,
Şehitkamil de satılık ev,2,2,Soba,50,670.000 TL,
YNS 'DEN FISTIK ARAŞTIRMA TOPLU SATILIK REZİDANS 1+1 2+0 2+1,6,5 +,Doğalgaz (Merkezi),227,40.000.000 TL,
GÖKER EMLAK'TAN SATILIK BİNEVLER RENAULT CİVARI KOMPLE BİNA,3,4,Doğalgaz (Merkezi),800,25.000.000 TL,
GAZİANTEP BOYNO MAH.SATILIK CADDE ÜZERİ SATILIK BİNA,3,1,Soba,125,2.750.000 TL,
"Doğan emlak'tan İSTER YATIRIMLIK,İSTER OTURUMLUK FIRSAT A2 BİNA",3,1,Doğalgaz (Kombi),320,5.500.000 TL,
8 Şubat mah satılık bina,2,1,Doğalgaz (Kombi),170,3.000.000 TL,
Gaziantep perlikayada satılık bina,3,1,Soba,130,1.750.000 TL,
GÜNEYKENT CİVARI SATILIK KELEPİR BİNA,3,1,Doğalgaz (Kombi),350,5.925.000 TL,
Kozluca mahallesi satılık 3 katlı mustakil ev,3,1,Soba,165,4.650.000 TL,
"60'NCI YILDA SATILIK 2 KATLI ""138 M2"" GENİŞ OTURUMLU MUSTAKİL EV",2,1,Soba,138,2.210.000 TL,
Emek de 3 katlı adliye civarında satılık 9+1 bina,3,1,Doğalgaz (Kombi),350,12.000.000 TL,
MARVİS GAYRİMENKUL'DEN TARİHİ İPEK YOLU ÜZERİ SATLIK TİCARİ BİNA,5,1,Soba,350,12.000.000 TL,
Kent Merkezinde Satılık Fırsat Bina,4,1,Doğalgaz (Merkezi),80,3.000.000 TL,
8 Şubat'ta ana cadde üzerinde komple bina,4,1,Doğalgaz (Kombi),225,10.000.000 TL,
ŞEHİR MERKEZİNDE YAYA SÜLÜKASYONUN EN YOĞUN YERİNDE SATILIK BİNA,4,2,Doğalgaz (Kombi),216,13.000.000 TL,
acil satılıktır,2,2,Soba,103,2.250.000 TL,
Sahibinden Satılık,2,1,Soba,55,680.000 TL,
29 EKİM MAH.SATILIK BEŞ KATLI DOĞALGAZLI BİNA,5,1,Doğalgaz (Kombi),145,6.250.000 TL,
Doğalgaz (Kombi) Satılık Kaçırılmayacak Fırsat! Yok Merkeze 5 dk Uzaklıkta Merkezi Konum,3,2,Doğalgaz (Kombi),170,13.750.000 TL,
Binevler Merkezde 2 Blok 8 Adet 2+1 Komple Bina,4,1,Doğalgaz (Kombi),900,22.000.000 TL,
SARIGELİN GAYRİMENKUL'DEN AĞA CAMİ KARŞISI 5 KATLI BİNA,5,1,Yok,1.200,35.000.000 TL,
Üniversite civarında satılık komple bina. Rezidans,5,5 +,Doğalgaz (Merkezi),600,35.000.000 TL,
TİLMUSA EMLAKTAN SAHA MAH.SİNDE MÜKEMMEL İKİ KATLI MUSTAKİL EV..,2,2,Soba,65,1.350.000 TL,
GAZİANTEP AKYOL MAH. BUTİK OTELE UYGUN TARİHİ ANTEP EVİ,4,2,Yok,950,12.500.000 TL,
BİRLEŞMİŞ EMLAKÇILAR A.Ş'DEN SANKO OKULLARI YANINDA SATILIK BİNA,3,1,Doğalgaz (Kombi),350,16.500.000 TL,
ÖZ MERCAN'DAN ŞEHİRGÖSTEREN'DE SATILIK KOMPLE (4 KATLI) BİNA,4,1,Doğalgaz (Kombi),400,18.000.000 TL,
KUZEY'DEN CADDE ÜZERİNDE SATILIK 4 DÜKKAN 2 DAİRE,1,2,Kalorifer,210,5.250.000 TL,
YAZICIK MAH.SATILIK KOMPLE BİNA CADDE ÜSTÜ,4,1,Soba,120,3.200.000 TL,
24.000TL KİRACILI BİNA !!!!!!!!!!!!!!!!!!!!,3,1,Doğalgaz (Kombi),350,5.925.000 TL,
Nizip Müstakil Ev Atatürk Mah Müstakil 3 Katlı Ev,3,1,Doğalgaz (Kombi),130,3.900.000 TL,
GAİA REAL'DEN SATILIK KOMPLE BİNA 2 ADET DÜĞÜN SALONU MEVCUT,4,2,Doğalgaz (Kombi),750,38.000.000 TL,
FAWORİ GAYRİMENKUL DEN TEKSTİLKENTTE SATILIK 4 KATLI TİCARİ BİNA,4,2,Yok,320,31.000.000 TL,
