_1,_2,_3,_4,_5,_6,_7
BEYOĞLU ASMALI MESCİT'TE SATILIK BİNA,6,1,Doğalgaz (Kombi),489,73.500.000 TL,
TAKSİM ŞİŞHANE MEYDANINDA TURİZM İMARLI 9 KATLI SATILIK BİNA,9 +,5 +,Yok,278,200.000.000 TL,
MİMARSİNAN KOLEJİNIN KARŞISI 140M ARSA İÇİNDE 5 DAİRELİK BİNA,5,1,Doğalgaz (Kombi),140,9.500.000 TL,
,,,,,,
THE ADDRESS'TE PENDİK'DE SATILIK KOMPLE PLAZA İŞYERİ,9 +,4,Doğalgaz (Merkezi),3.226,119.000.000 TL,
ATAŞEHİR AŞIK VEYSEL MAH. 179 M2 ARSAYA SAHİP 4 KATLI BİNA,4,1,Doğalgaz (Kombi),100,14.000.000 TL,
EKİP DEN E-5 ÜZERİ HASTANE RUHSATLI BİNA,5,1,Doğalgaz (Merkezi),1.400,70.000.000 TL,
BEYLİKDÜZÜ YAKUPLU SATILIK 4 DAİRELİ KOMPİLE BİNA,5,1,Doğalgaz (Kombi),243,17.000.000 TL,
EURO PLAZA OTELE 500 METRE MESAFEDE 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),250,5.700.000 TL,
MÜKEMMEL KONUMDA YATIRIM FIRSATI BEYOĞLU'NDA SATILIK BİNA 6 KAT,6,2,Doğalgaz (Kombi),413,28.000.000 TL,
KARTAL E 5'E METROYA YÜRÜME MESAFESİNDE SATILIK KOMPLE BİNA,5,1,Doğalgaz (Kombi),275,31.700.000 TL,
HALKALI İSTASYON MAHALLESİ TAŞTEPE DE SATILIK BİNA TAPUKUR'dan,4,1,Doğalgaz (Kombi),300,8.800.000 TL,
NECİP FAZIL DA GENİŞ AİLERİN İÇİN 5 KATLI MÜSTAKİL AİLE BİNASI,5,1,Doğalgaz (Kombi),650,11.000.000 TL,
Beyoğlu Kalyoncukulluğu Cad. de 4 katlı Bina Komple Satılık,4,1,Kalorifer,320,14.000.000 TL,
Beykoz Kanlıca Mahallesi'nde 3 Katlı Satılık Müstakil Bina,3,2,Doğalgaz (Kombi),130,160.000.000 TL,
