1,2,3,4,5,6,7
ÇOK ACİL AVCILAR YEŞİLKENT MAHALLESİNDE SATILIK 6 DAİRELİK BİNA,7,1.0,Doğalgaz (Kombi),120.0,4.750.000 TL,
Merkezi konum ve lokasyon da,4,1.0,Doğalgaz (Kombi),320.0,10.900.000 TL,
Bağcılarda Satılık 5000 m2 İskanlı Komple Bina,8,1.0,Yok,5.0,175.000.000 TL,
,,,,,,
ÜSKÜDAR da 6 DAİRE 1 DÜKKAN 630M2 KOMPLE BİNA,5,1.0,Doğalgaz (Kombi),630.0,30.000.000 TL,
KADIKÖY MERKEZDE 5 KATLI 250 m2 SATILIK BİNA,5,1.0,Doğalgaz (Merkezi),55.0,21.000.000 TL,
satılık bina,6,1.0,Doğalgaz (Kombi),257.0,15.500.000 TL,
ÜMRANİYE NATO YOLU MODOKO'YA YAKIN KOMPLE SATILIK BİNA,3,1.0,Doğalgaz (Kombi),115.0,16.250.000 TL,
AYBARS'DAN KADIKÖY KADİFE SOKAKTA KOPLE SATILIK BİNA,4,1.0,Doğalgaz (Kombi),360.0,31.500.000 TL,
sahibinden satılık daire temiz pazarlık olur,5,1.0,Doğalgaz (Kombi),160.0,1.950.000.000 TL,
ŞİŞLİ VE BEYOĞLU PİYALEPAŞA CADDESİNDE KURUMSAL KİRACILI BİNA,9 +,1.0,VRV,14.0,850.000.000 TL,
BALAT MERKEZ'DE SATILIK 5-KATLI BETONARME BİNA,5,1.0,Doğalgaz (Kombi),350.0,17.000.000 TL,
G.O.PAŞA 8 KATLI 5000m² KURUMSAL KİRACILI ÇİFT ASANSÖRLÜ BİNA,8,1.0,Doğalgaz (Kombi),5.0,117.500.000 TL,
SİLİVRİ SEMİZKUMLAR DA SATILIK KOMPLE BİNA,3,1.0,Doğalgaz (Kombi),230.0,9.000.000 TL,
SATİLİK 8 DAİRE 1 DÜKKAN GÖL MANZARALI,4,2.0,Doğalgaz (Kombi),480.0,12.800.000 TL,
pendik kaynarcada satılık imarlı arsa,4,1.0,Yok,334.0,7.100.000 TL,
Maltepe Yalı Mahallesi Beşçeşmeler' de Yatırımlık Eski Eser,4,1.0,Doğalgaz (Kombi),75.0,2.750.000 TL,
"""YUŞA EVİM'DEN""SIFIR SATILIK BİNA",5,1.0,Doğalgaz (Kombi),545.0,18.500.000 TL,
Sahibinden Bayrampaşa'da 4 Katlı 4 Daireli Bina Satılıktır..,4,1.0,Doğalgaz (Kombi),65.0,5.800.000 TL,
FATİH TOPKAPI ERESİN OTEL ARKASI SATILIK BİNA 60M2 KURULUM 4'KAT,4,1.0,Doğalgaz (Kombi),240.0,9.000.000 TL,
*FUL YAPILI*6 DAİRE+1 DÜKKAN*ARSA M2 168*/*KOMPLE SATILIK BİNA*,2,2.0,Doğalgaz (Kombi),168.0,15.000.000 TL,
BEYLERBEYİ KORU'DA 1970 M2 ARSA İÇİNDE BOĞAZ MANZARALI BİNA,3,2.0,Doğalgaz (Kombi),1.0,275.000.000 TL,
Sarıyer Tarabya Satılık Bina 5 Katlı Manzaralı Kiracılı Fırsat,4,1.0,Doğalgaz (Kombi),700.0,24.500.000 TL,
ACİL SATILIK BİNA KISA SÜRELİĞİNE KAÇIRILMAYACAK SÜPRİZ FİYATLI,4,1.0,Doğalgaz (Kombi),260.0,23.250.000 TL,
Kurtuluş'ta 3 Katlı Müstakil Satılık Bina,3,1.0,Doğalgaz (Kombi),100.0,4.000.000 TL,
ÇELEBİOĞLU GAYRİMENKUL BEYKOZ TOKATKÖY MAH. SATILIK BİNA,2,1.0,Doğalgaz (Kombi),238.0,2.100.000 TL,
LALELİ de SATILIK KOMPLE KONUT+TİCARİ BİNA,4,1.0,Doğalgaz (Kombi),70.0,20.000.000 TL,
ARNAVUTKÖY BOĞAZKÖY SATILIK BAHÇE KATI 2+1,1,1.0,Doğalgaz (Kombi),90.0,1.500.000 TL,
"TARİHİ BİNADA,HEM TİCARİ HEM DE KONUT YAPIMINA UYGUN SATILIK",4,1.0,Yok,400.0,40.000.000 TL,
Satılık Bina 2 katlı Kelepir Yatırım Fırsatı,2,2.0,Doğalgaz Sobası,250.0,4.400.000 TL,
BÜYÜKÇEKMECE MURATÇEŞME KOMPLE SATILIK 30.000 TL KİRACILI BİNA,4,1.0,Doğalgaz (Kombi),137.0,4.400.000 TL,
BEYOĞLU PERA'DA 2 DÜKKAN 2 DAİRELİ 2 KATLI 140m2 SATILIK BİNA,2,1.0,Klima,140.0,8.750.000 TL,
KUMKAPI CADDE CEPHE SATILIK TİCARİ BİNA,5,2.0,Klima,300.0,57.000.000 TL,
