_1,_2,_3,_4,_5,_6,_7
İzmir Bergama Maruflar'da Tek katlı 2 Adet Konut ve Arsası,1,1,Yok,100,500.000 TL,
ÇİFTLİK MERKEZ'DE KOMPLE SATILIK TİCARİ RUHSATLI BİNA,2,5 +,Klima,150,17.000.000 TL,
KUZEY EMLAKTAN KOMPLE SATILIK 3 KATLI MÜSTAKİL BİNA,3,1,Yok,205,3.000.000 TL,
,,,,,,
BOZYAKA DALGIÇLAR FIRIN YAKINI 3 KATLI SATILIK MÜSTAKİL BİNA,3,1,Doğalgaz (Kombi),108,5.150.000 TL,
KOMPLE BİNA ve ARSA,2,2,Klima,800,12.000.000 TL,
LEVENT MAH GÜNEY MAH 3 KATLI BİNA ARAÇ TAKASI DEĞERLENDİRİLİR,3,1,Yok,60,810.000 TL,
Fiyat düştü Acil satılık!!! Resmi Tapulu Bina,3,1,Doğalgaz (Kombi),120,8.100.000 TL,
ILICA PLAJINA 50 METRE MESAFEDE KOMPLE SATILIK BINA,2,1,Klima,188,29.500.000 TL,
ARGA'DAN BUCA GÖKSU MH.D.GAZLI KOMPLE SATILIK BİNA.,3,1,Doğalgaz (Kombi),390,7.750.000 TL,
İzmir Bornova da Komple Satilik Bina,5,1,Doğalgaz (Merkezi),1.100,28.000.000 TL,
İZMİR /BORNOVA /PINARBAŞIDA SATILIK MÜSTAKİL EV,3,2,Doğalgaz (Kombi),426,7.000.000 TL,
꧁ASEL꧂HİPODRUM ARKASI 4 DAİRELİ 10 YAŞINDA KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),125,15.850.000 TL,
Turyap-Fırsat Cadde Üzeri Satılık Dükkan Daire Komple Bina,3,2,Klima,450,7.900.000 TL,
Bayraklı Onur Mahallesinde Avantajlı Satılık Komple Bina,4,1,Doğalgaz (Kombi),160,8.000.000 TL,
Osmangazi'de Satılık Komple Bina,4,1,Klima,350,5.700.000 TL,
ÇİMEN EMLAK'TAN SATILIK MÜKEMMEL KONUMLU KOMPLE BİNA,4,2,Klima,950,25.000.000 TL,
BAYRAKLI'DA SATILIK FIRSAT MÜSTAKİL EV,2,1,Soba,245,2.800.000 TL,
REZERVE'den FIRSAT! İçmeler'de 3 katlı BİNA 3 ayrı DAİRE,3,1,Klima,445,8.500.000 TL,
URLA GÜLBAHÇE 13 ADET 1+1 EMSALSİZ ÖĞRENCİ YURDU,3,4,Kalorifer,600,45.000.000 TL,
KONAK HİLTON YAKINI OTELLER BÖLGESİNDE TAMAMINA TAKAS BİNA,3,1,Yok,90,22.500.000 TL,
Komple Satılık Bina 5 Daire Bir Dükkan Bir Otopark 7 Ruhsatlı,6,1,Doğalgaz (Kombi),106,11.000.000 TL,
EŞREF PAŞADA SATILIK BİNA KONAĞA 10 DAKİKA MESAFEDE TAKAS OLUR,3,2,Soba,300,2.450.000 TL,
ALTINDAĞ'DA HER DAİRESİ KAT MÜLKİYET TAPULU SATILIK 4 KATLI BİNA,4,1,Doğalgaz (Kombi),360,6.750.000 TL,
IZMIR ISIKKENTTE 200M2 ZEMINDE TOPLAMDA 1200 M2 LIK KOMPLE BINA,6,1,Klima,1.200,21.000.000 TL,
DEMİR EMLAKTAN TORBALI MAHALLESİNDE LÜKS 2+1,4,2,Doğalgaz (Kombi),90,2.750.000 TL,
Aydınlıkevler De Mükemmel Konum 5 Ayrı Tapu Komple Satılık Bina,4,1,Doğalgaz (Kombi),500,19.750.000 TL,
Gaziemir'de Yatırımlık Restore Edilmiş Satılık Taş Ev,2,2,Klima,489,39.500.000 TL,
DG'DEN SATILIK 540 M2 KÖŞE ARSA İÇİNDE YASAL 5 KATLI BİNA,5,1,Doğalgaz (Kombi),600,19.000.000 TL,
BUCA YILDIZ MAHALLESİNDE KOMPLE SATILIK BİNA 4 DAİRE 1 DÜKKAN,4,1,Doğalgaz (Kombi),125,13.200.000 TL,
İZMİR URLA CADDEDE MÜTHİŞ KİRA GETİRİLİ SATILIK RESİDENCE - BİNA,4,5 +,Klima,2.000,200.000.000 TL,
ÖZEN GAYRİMENKULDEN ANA CADDE ÜZERİ SATILIK BİNA,3,1,Doğalgaz (Kombi),400,17.500.000 TL,
İZMİR BUCA UFUK MAHALLESİ 5 KATLI BİNA,5,1,Doğalgaz (Kombi),750,22.000.000 TL,
EVREN YAŞAM KONAKLARI SATILIK LÜX VİLLA,2,1,Doğalgaz (Kombi),148,6.500.000 TL,
ÇEŞME ÇARŞI DA FAAL 2 DÜKKAN VE 2 DAİRE KÖŞE KOMPLE BİNA,3,4,Klima,300,65.000.000 TL,
Artı Emlaktan Buca Kozağaçta 5 daire li Komple Bina,5,1,Doğalgaz (Kombi),115,12.100.000 TL,
MENEMEN ASARLIK'DA KÖŞE BAŞI KOMPLE SATILIK 3 KATLI BİNA,3,1,Soba,181,3.300.000 TL,
KURA'dan BAYRAKLI ÇİÇEK MAHALLESİNDE TADİLATLI 3 KATLI BİNA,3,1,Klima,99,3.500.000 TL,
MUĞLA MİLAS SÜGÜTCÜK TE İKİ KATLI KÂGİR EV ALA EMLAK TAN SATILI,2,4,Yok,287,2.500.000 TL,
