_1,_2,_3,_4,_5,_6,_7
!!ÖZEL OKUL RUHSATLI KİRACILI KOMPLE BİNA!!,4,1,Doğalgaz (Kombi),1.250,13.500.000 TL,
SUBAYEVLERİ'NDE 8 ADET 2+1 DAİREYE SAHİP KOMPLE SATILIK BİNA,3,2,Doğalgaz (Kombi),600,14.750.000 TL,
Yenimahalle'de Komple Satılık Bina,3,2,Doğalgaz (Kombi),900,17.500.000 TL,
,,,,,,
Hastalık Sebebiyle Doğalgaz (Kombi) Kaçırılmayacak Fırsat! Çok Uygun Bina Emlak Ofisinden,3,1,Doğalgaz (Kombi),275,13.500.000 TL,
TOKİ KONUTLARI İÇİNDE 7.000 M2 ÖZEL OKUL BİNASI,4,5 +,Doğalgaz (Merkezi),7.000,65.900.000 TL,
KEÇİÖREN'DE KOMPLE SATILIK BİNA 6 TANE 3+1 GETİRİLİ,3,3,Doğalgaz (Kombi),340,16.000.000 TL,
KAHRAMAN KAZAN SANAYİNDE SATILIK FABRİKA BİNASI,1,1,Doğalgaz (Merkezi),900,22.000.000 TL,
ÇANKAYA CADDESİ ÜZERİ BOTANİK PARK KARŞISI SATILIK KOMPLE BİNA,4,5 +,Doğalgaz Sobası,2.500,100.000.000 TL,
İki katlı evli İstabul yoluna cephe,2,1,Doğalgaz (Kombi),500,3.500.000 TL,
ALTINDAĞ İSKİTLER SATILIK BİNA,4,2,Soba,391,16.000.000 TL,
KURUMSAL MARKETLERDEN OLUŞAN 400.000 TL NET KİRA GETİRİLİ,4,5 +,Doğalgaz (Kombi),2.000,185.000.000 TL,
ÇANKAYA EMEK MAH YÜKSEK KİRA GETİRİLİ UYGUN FİYATLI SATILIKBİNA,3,1,Doğalgaz (Kombi),275,5.750.000 TL,
Bozyaka Ssk Yakını Ayrı Tapulu Komple Bina,5,1,Doğalgaz (Kombi),130,9.750.000 TL,
,,,,,,
BUCA FIRAT MAH/DE SATILIK 4 BUÇUK KATLI KÖŞE BİNA,4,1,Klima,121,6.250.000 TL,
merkezi yerde üçyol da iki katlı bina,2,1,Doğalgaz (Kombi),90,3.200.000 TL,
,,,,,,
BUCA FIRAT MAH/DE SATILIK 6 DAİRE 2 DÜKKAN AYRI TAPULU BİNA,4,2,Doğalgaz (Kombi),230,15.500.000 TL,
"URLA İSKELEDE ÖZEL KONUM,DENİZE 50 M. ÇOK AMAÇLI SATILIK BİNA",3,1,Klima,232,35.000.000 TL,
Yok Bina Çok Uygun Kaçırılmayacak Fırsat! Doğalgaz (Kombi) Lüx,2,1,Doğalgaz (Kombi),220,9.750.000 TL,
BABACAN'DAN ÇİĞLİ ŞİRİNTEPE'DE 3 KATLI SATILIK MÜSTAKİL BİNA,3,1,Klima,167,7.600.000 TL,
ALAÇATI'NIN KALBİNDE 4 BAĞIMSIZ BÖLÜMLÜ SATILIK KOMPLE BİNA,2,1,Klima,340,83.000.000 TL,
ERA NİVA'DAN BORNOVA 1 DÜKKAN 3 DAİRE SATILIK KOMPLE BİNA,2,1,Doğalgaz (Kombi),112,5.750.000 TL,
FIRAT MAH. SATILIK 4 BUCUK KATLI BİNA pazaryeri metro dolmuş,4,1,Klima,121,6.250.000 TL,
BAYRAKLI'DA KOMPLE SATILIK BİNA KUPON FİYAT...,2,1,Yok,70,1.900.000 TL,
Akay'dan Yeşilova'da Satılık Full Tadilatlı Lüks Komple Bina,4,1,Doğalgaz (Kombi),110,10.750.000 TL,
^^ACİL^^ Yatırımlık Sahibinden Ana Caddede Komple Satılık Bina,4,2,Yok,416,19.750.000 TL,
SELÇUK TARİHİ YARIMADA İÇİNDE KOMPLE SATILIK BİNA,3,3,Yerden Isıtma,1.500,31.500.000 TL,
GÜNEŞ GAYRİMENKUL'DEN KONAK KÜÇÜKADA MAH. SATILIK BİNA,2,1,Yok,150,1.500.000 TL,
Sahibinden Satılık #Fırsat,3,2,Doğalgaz (Kombi),350,4.650.000 TL,
"ERANİVA'DAN BORNOVA-ÜMİT MAHALLESİ'NDE SATILIK 2,5 KAT BİNA",2,1,Doğalgaz (Kombi),160,4.250.000 TL,
SATILIK 4 KATLI BİNA,4,1,Doğalgaz (Kombi),280,21.000.000 TL,
DİPLOMA GAYRİMENKUL' DEN KOMPLE VE TEK TEK SATILIK BİNA,4,1,Doğalgaz (Kombi),130,12.500.000 TL,
ERCİYES35'den SATILIK BİNA 4 AYRI DAIRE,5,1,Soba,90,2.650.000 TL,
Sahibinden Gültepede 3 katlı ev,3,1,Klima,85,2.950.000 TL,
ARTKEY DEN ÇAMKULEDE DENİZ MANZARALI 4 KATLI BİNA,4,1,Soba,128,6.250.000 TL,
KOMPLE SATILIK ÜÇ KATLI DENİZ MANZARALI BİNA,3,1,Doğalgaz (Kombi),218,9.000.000 TL,
Çiğli Merkezde Satılık 2 Katlı Bina Köşe Konumlu,2,1,Doğalgaz (Kombi),220,6.250.000 TL,
KARADAĞ GAYRİMENKULDEN KOMPLE SATILIK BİNA VE DAİRELER,4,1,Soba,400,7.750.000 TL,
Alsancak Saint Joseph Yakını Komple Satılık Bina,4,1,Klima,349,22.000.000 TL,
