1,2,3,4,5,6,7
İzmir Bergama Maruflar'da Tek katlı 2 Adet Konut ve Arsası,1.0,1,Yok,100.0,500.000 TL,
ÇİFTLİK MERKEZ'DE KOMPLE SATILIK TİCARİ RUHSATLI BİNA,2.0,5 +,Klima,150.0,17.000.000 TL,
KUZEY EMLAKTAN KOMPLE SATILIK 3 KATLI MÜSTAKİL BİNA,3.0,1,Yok,205.0,3.000.000 TL,
,,,,,,
BOZYAKA DALGIÇLAR FIRIN YAKINI 3 KATLI SATILIK MÜSTAKİL BİNA,3.0,1,Doğalgaz (Kombi),108.0,5.150.000 TL,
KOMPLE BİNA ve ARSA,2.0,2,Klima,800.0,12.000.000 TL,
LEVENT MAH GÜNEY MAH 3 KATLI BİNA ARAÇ TAKASI DEĞERLENDİRİLİR,3.0,1,Yok,60.0,810.000 TL,
Fiyat düştü Acil satılık!!! Resmi Tapulu Bina,3.0,1,Doğalgaz (Kombi),120.0,8.100.000 TL,
ILICA PLAJINA 50 METRE MESAFEDE KOMPLE SATILIK BINA,2.0,1,Klima,188.0,29.500.000 TL,
ARGA'DAN BUCA GÖKSU MH.D.GAZLI KOMPLE SATILIK BİNA.,3.0,1,Doğalgaz (Kombi),390.0,7.750.000 TL,
İzmir Bornova da Komple Satilik Bina,5.0,1,Doğalgaz (Merkezi),1.1,28.000.000 TL,
İZMİR /BORNOVA /PINARBAŞIDA SATILIK MÜSTAKİL EV,3.0,2,Doğalgaz (Kombi),426.0,7.000.000 TL,
꧁ASEL꧂HİPODRUM ARKASI 4 DAİRELİ 10 YAŞINDA KOMPLE SATILIK BİNA,4.0,1,Doğalgaz (Kombi),125.0,15.850.000 TL,
Turyap-Fırsat Cadde Üzeri Satılık Dükkan Daire Komple Bina,3.0,2,Klima,450.0,7.900.000 TL,
Bayraklı Onur Mahallesinde Avantajlı Satılık Komple Bina,4.0,1,Doğalgaz (Kombi),160.0,8.000.000 TL,
Osmangazi'de Satılık Komple Bina,4.0,1,Klima,350.0,5.700.000 TL,
ÇİMEN EMLAK'TAN SATILIK MÜKEMMEL KONUMLU KOMPLE BİNA,4.0,2,Klima,950.0,25.000.000 TL,
BAYRAKLI'DA SATILIK FIRSAT MÜSTAKİL EV,2.0,1,Soba,245.0,2.800.000 TL,
REZERVE'den FIRSAT! İçmeler'de 3 katlı BİNA 3 ayrı DAİRE,3.0,1,Klima,445.0,8.500.000 TL,
URLA GÜLBAHÇE 13 ADET 1+1 EMSALSİZ ÖĞRENCİ YURDU,3.0,4,Kalorifer,600.0,45.000.000 TL,
KONAK HİLTON YAKINI OTELLER BÖLGESİNDE TAMAMINA TAKAS BİNA,3.0,1,Yok,90.0,22.500.000 TL,
Komple Satılık Bina 5 Daire Bir Dükkan Bir Otopark 7 Ruhsatlı,6.0,1,Doğalgaz (Kombi),106.0,11.000.000 TL,
EŞREF PAŞADA SATILIK BİNA KONAĞA 10 DAKİKA MESAFEDE TAKAS OLUR,3.0,2,Soba,300.0,2.450.000 TL,
ALTINDAĞ'DA HER DAİRESİ KAT MÜLKİYET TAPULU SATILIK 4 KATLI BİNA,4.0,1,Doğalgaz (Kombi),360.0,6.750.000 TL,
IZMIR ISIKKENTTE 200M2 ZEMINDE TOPLAMDA 1200 M2 LIK KOMPLE BINA,6.0,1,Klima,1.2,21.000.000 TL,
DEMİR EMLAKTAN TORBALI MAHALLESİNDE LÜKS 2+1,4.0,2,Doğalgaz (Kombi),90.0,2.750.000 TL,
Aydınlıkevler De Mükemmel Konum 5 Ayrı Tapu Komple Satılık Bina,4.0,1,Doğalgaz (Kombi),500.0,19.750.000 TL,
Gaziemir'de Yatırımlık Restore Edilmiş Satılık Taş Ev,2.0,2,Klima,489.0,39.500.000 TL,
DG'DEN SATILIK 540 M2 KÖŞE ARSA İÇİNDE YASAL 5 KATLI BİNA,5.0,1,Doğalgaz (Kombi),600.0,19.000.000 TL,
BUCA YILDIZ MAHALLESİNDE KOMPLE SATILIK BİNA 4 DAİRE 1 DÜKKAN,4.0,1,Doğalgaz (Kombi),125.0,13.200.000 TL,
İZMİR URLA CADDEDE MÜTHİŞ KİRA GETİRİLİ SATILIK RESİDENCE - BİNA,4.0,5 +,Klima,2.0,200.000.000 TL,
ÖZEN GAYRİMENKULDEN ANA CADDE ÜZERİ SATILIK BİNA,3.0,1,Doğalgaz (Kombi),400.0,17.500.000 TL,
İZMİR BUCA UFUK MAHALLESİ 5 KATLI BİNA,5.0,1,Doğalgaz (Kombi),750.0,22.000.000 TL,
EVREN YAŞAM KONAKLARI SATILIK LÜX VİLLA,2.0,1,Doğalgaz (Kombi),148.0,6.500.000 TL,
ÇEŞME ÇARŞI DA FAAL 2 DÜKKAN VE 2 DAİRE KÖŞE KOMPLE BİNA,3.0,4,Klima,300.0,65.000.000 TL,
Artı Emlaktan Buca Kozağaçta 5 daire li Komple Bina,5.0,1,Doğalgaz (Kombi),115.0,12.100.000 TL,
MENEMEN ASARLIK'DA KÖŞE BAŞI KOMPLE SATILIK 3 KATLI BİNA,3.0,1,Soba,181.0,3.300.000 TL,
KURA'dan BAYRAKLI ÇİÇEK MAHALLESİNDE TADİLATLI 3 KATLI BİNA,3.0,1,Klima,99.0,3.500.000 TL,
MUĞLA MİLAS SÜGÜTCÜK TE İKİ KATLI KÂGİR EV ALA EMLAK TAN SATILI,2.0,4,Yok,287.0,2.500.000 TL,
BUCA'DA SATILIK İMAR BARIŞLI 3 KATLI BİNA,3.0,1,Soba,100.0,4.000.000 TL,
"3 Ad. 3+1, 1 Ad. 2+1 Daire olan BİNA, YATIRIM VE KAZANÇ FIRSATI",4.0,1,Doğalgaz (Kombi),450.0,15.500.000 TL,
Sahibinden satılık taş bina,3.0,1,Soba,328.0,30.500.000 TL,
KOMPLE SATILIK 3 KAT 123 M2 ÇİFT CEPHE GÜZEL BİR BİNA,3.0,3,Soba,123.0,4.425.000 TL,
BAYRAKLI OSMANGAZİ MAHALLESİ SATILIK KOMPLE BİNA,4.0,1,Doğalgaz (Kombi),725.0,27.500.000 TL,
BORNOVA İNÖNÜ MAH. SATILIK DÜKKAN VE 1+1 DAİRE,1.0,1,Yok,70.0,2.500.000 TL,
Menemen Asarlık Mahallesinde Gölpark Cepheli Satılık Binalı Arsa,1.0,1,Soba,156.0,1.300.000 TL,
Dr. Emlak'tan Refet Bele Mah. Satılık 4 Daire 1 Dükkan Bina,4.0,1,Soba,134.0,4.500.000 TL,
Dr. Emlak'tan Günaltay Mah. 5 Katlı Bina,5.0,1,Soba,100.0,5.250.000 TL,
Bostanlıda Ayrık Nizam Köşe Konumlu Komple Satılık Bina,5.0,2,Doğalgaz (Kombi),1.3,75.000.000 TL,
ŞAKRAN BOZBURUN MEVKİİNDE SATILIK 2 ADET YAZLIK VİLLA,2.0,2,Doğalgaz (Kombi),400.0,25.000.000 TL,
Konak tuzcu mahallesinde 247Metre4+1 2 daire 1 dükkan,2.0,2,Soba,247.0,3.650.000 TL,
SUNAR'dan MEDİKAL YANI ÖRNEKKÖYde ALTI DÜKKAN ÜSTÜ 2 DAİRE&TERAS,3.0,1,Doğalgaz (Kombi),135.0,4.700.000 TL,
ÇALIŞKAN_DAN AYDIN MAH İKİ KATLI BİNA 2.500BNE ACİLEN SATILIKTIR,2.0,1,Yok,178.0,2.500.000 TL,
KOMPLE SATILIK 2.5 KAT ÇATILI BİNA,2.0,1,Doğalgaz (Kombi),100.0,5.500.000 TL,
,,,,,,
BORNOVADA SATILIK KOMPLE BİNA,3.0,1,Doğalgaz (Merkezi),145.0,3.750.000 TL,
BUCA IŞIKLI PARK YAKINI 4 KATLI OTOPARKLI GENİŞ BINA,4.0,1,Doğalgaz (Kombi),287.0,8.000.000 TL,
ÇALIŞKAN_DAN YUNUS EMRE MERKEZDE 4 DAİRE 2 DÜKKAN KOMPLE SATILIK,3.0,2,Klima,200.0,6.500.000 TL,
Urla Sanat Sokağı Yakını Tamamı Yenilenmiş Satılık Bina - 6 Tapu,2.0,5 +,Doğalgaz (Kombi),292.0,30.000.000 TL,
AİLE BİNASI,4.0,1,Doğalgaz (Kombi),700.0,12.350.000 TL,
EMLAKMATİK TEN EGRİDERE DE FIRSAT KOMPLE SATILIK BİNA 11 DAİRE,5.0,2,Doğalgaz (Kombi),190.0,29.200.000 TL,
BASMANE YATIRIMLIK FIRSAT SATILIK 3 KATLI SATILIK BİNA,3.0,2,Yok,200.0,3.100.000 TL,
Sahibinden 3 katlı müstakil ev,3.0,1,Klima,76.0,6.000.000 TL,
ÇANDARLI MERKEZDE SATILIK DÜKKAN&OTEL,3.0,1,Klima,600.0,30.000.000 TL,
YUKARIKALABAK KÖYÜ İÇİNDE MÜSTAKİL AVLULU KARGİR EV,1.0,1,Soba,222.0,605.000 TL,
Bornova Çamdibi De Satılık Bina 5 senelik yeni,2.0,1,Doğalgaz (Kombi),160.0,6.250.000 TL,
BUCA YEŞİLBAĞLAR MAH/DE SATILIK 4 KATLI BİNA,4.0,1,Doğalgaz (Kombi),155.0,8.750.000 TL,
KARABAĞLAR YEŞİLLİK CADDESİNE YAKIN SATILIK 4 KATLI BİNA,4.0,1,Yok,600.0,6.200.000 TL,
BORNOVA ATATÜRK MAHALLESİNDE 4 DAİRE 1 DÜKKAN SATILIK,4.0,1,Doğalgaz (Kombi),130.0,13.500.000 TL,
Karabağlar Yeşilyurt Satılık 4 Katlı Bina,4.0,1,Klima,436.0,4.350.000 TL,
KARABAĞLAR BOZYAKA' DA ANA CADDE ÜZERİ KÖŞE BİNA 3 KATLI,3.0,1,Doğalgaz (Kombi),147.0,16.250.000 TL,
CB PRİME'DAN Balçova İSTİNYE PARK YAKINI SATILIK KOMPLE BİNA,3.0,1,Klima,140.0,26.600.000 TL,
YEŞİLOVADA SATILIK 4 KATLI BİNA,4.0,1,Yok,105.0,7.000.000 TL,
꧁ASEL꧂ATATÜRK MAH. 10 YAŞINDA KAT MÜLKİYETLİ KOMPLE SATILIK BİNA,3.0,1,Doğalgaz (Kombi),160.0,8.990.000 TL,
URLA MERKEZDE 2 ADET 3+1 DAİRE 1 ADET DÜKKAN SATILIK KOMPLE BİNA,3.0,1,Yok,516.0,15.500.000 TL,
URLA MERKEZ TAŞ BİNA,1.0,1,Yok,210.0,16.500.000 TL,
TARİHİ AGORA YAKINI 329 m2 ZEMİN X 2 kat FAAL BİNA SATILIKTIR,2.0,2,Klima,329.0,18.000.000 TL,
Karşıyaka Örnekköy'de Satılık Komple Bina,4.0,1,Doğalgaz (Kombi),80.0,5.900.000 TL,
İzmir'in En Değerli Konumunda Satılık Komple Bina,8.0,1,Doğalgaz (Kombi),768.0,108.000.000 TL,
BUCA NIN YENI GÜN MAH. BÖLGESİN' DE KOMPLE VE TEK TEK SATILIK,3.0,2,Klima,95.0,13.750.000 TL,
YAŞANIR DAN BORNOVA ALTINDAĞ MEVİNDE SATILIK 2 KATLI KOPMLE BİNA,2.0,1,Yok,160.0,1.650.000 TL,
GÖKHAN DOĞAN'DAN SELVİLİ'DE 3 KATLI DOĞALGAZLI KOMPLE BİNA,3.0,1,Doğalgaz (Kombi),118.0,3.300.000 TL,
GAZİ OSMAN PAŞA MAH NEST SİTESİ KARŞI SOKAĞI KOMPLE SATILIK BİNA,2.0,1,Doğalgaz (Kombi),115.0,3.490.000 TL,
İzmir Konak'da Deniz Manzaralı 3 katlı Bina Araç Takası Olur,3.0,1,Klima,83.0,1.200.000 TL,
GÜNALTAY'DA 208M2 ARSA ÜZERİNDE 2KAT 4 DAİRE,2.0,2,Soba,208.0,2.650.000 TL,
AKEVLER CİVARI 3 DAİRE BİRDEN 2 ADET 3+1 1 ADET 1+1 FIRSAT,3.0,1,Soba,100.0,1.900.000 TL,
BUCA GÖKSU MAHALLESİNDE 3 KATLI SATLIK BİNA,3.0,1,Doğalgaz (Kombi),110.0,2.750.000 TL,
Satılık Doğalgaz (Kombi) Lüx Emsalsiz Konumda  Emlak Ofisinden Ferah,3.0,1,Doğalgaz (Kombi),141.0,5.900.000 TL,
BAYRAKLI EMEK MAHALLESİNDE SATILIK 4 KATLI BİNA,4.0,1,Klima,178.0,5.050.000 TL,
BAYRAKLI GÜMÜŞPALA'DA KOMPLE SATILIK 2 KATLI BİNA,2.0,1,Yok,94.0,3.130.000 TL,
GIDA ÇARŞISINDA MÜKEMMEL KONUMDA SATILIK 4 KATLI BİNA,4.0,4,Klima,230.0,15.000.000 TL,
"CEMİL HASEKİOĞLU'NDAN 121 M TEK TAPU,İMARLI,MUHTEŞEM KONUM",3.0,1,Yok,121.0,4.000.000 TL,
ALTINDAĞ'DA 2 DÜKKAN VE 2 DAİRESİ BULUNAN KOMPLE SATILIK BİNA,3.0,1,Yok,194.0,2.500.000 TL,
BUCA ATATÜRK MAHALLESİNDE MUSTAKİL 3 KATLI BİNA,3.0,1,Doğalgaz (Kombi),350.0,6.000.000 TL,
İZMİR BORNAVA'DA 4 KATLI KOMPLE SATILIK BİNA,4.0,1,Doğalgaz (Kombi),100.0,9.000.000 TL,
URLA KALABAK'TA TABELA DEĞERİ YÜKSEK İŞLEK YOL ÜZERİ KOMPLE BİNA,3.0,1,Yerden Isıtma,1.35,145.000.000 TL,
Bayraklı Gümüşpala'da Köşe Konumlu Komple Satılık Bina,3.0,1,Yok,512.0,7.500.000 TL,
MERKEZDE ÖNÜ AÇIK KÖŞE KONUMDA 3 KATLI SATILIK KOMPLE BİNA,3.0,1,Doğalgaz (Kombi),280.0,4.750.000 TL,
YUNUS EMRE MAHALLESİNDE 3+1 KOMPLE SATILIK BİNA DÜKKAN DAHİL,4.0,1,Doğalgaz (Kombi),120.0,10.000.000 TL,
SERKAN SARI'DAN SATILIK KOMPLE BİNA 3 KAT 3 CEPHE ACİL SATILIK,3.0,1,Doğalgaz (Kombi),250.0,10.250.000 TL,
GÜLTEPE MURAT MAH. 168 m2 SATILIK KOMPLE BİNA 2.500.000 TL,4.0,2,Soba,168.0,2.500.000 TL,
